"artifact","source_id","role"
"access-point-nps-matches.csv","co_canal_association_access_points","Canonical automobile access-point facts"
"access-point-nps-matches.csv","nps_recreation_guide","NPS recreation-guide rows"
"access-points.json","co_canal_association_access_points","Canonical automobile access-point facts"
"access-points.json","co_canal_trust_locks","Practical lock mileposts and common names for nearby locks"
"access-points.json","nps_lift_locks","Lift-lock count and numbering authority"
"access-points.json","nps_recreation_guide","Amenity enrichment and selected nearby recreation features"
"access-points.json","nps_towpath_reference","Input to Canawler-derived towpath coverage fields"
"access-points.json","strava_activity_data","Input to Canawler-derived activity history fields"
"activities.csv","nps_towpath_reference","Towpath geometry input for calculated C&O matching and coverage fields"
"activities.csv","strava_activity_data","User activity-data input"
"activities.json","nps_towpath_reference","Towpath geometry input for calculated C&O matching and coverage fields"
"activities.json","strava_activity_data","User activity-data input"
"artifact-sources.csv","co_canal_association_access_points","External source represented in artifact relationships"
"artifact-sources.csv","co_canal_trust_locks","External source represented in artifact relationships"
"artifact-sources.csv","nps_lift_locks","External source represented in artifact relationships"
"artifact-sources.csv","nps_recreation_guide","External source represented in artifact relationships"
"artifact-sources.csv","nps_towpath_reference","External source represented in artifact relationships"
"artifact-sources.csv","strava_activity_data","External source represented in artifact relationships"
"coverage-segments.csv","nps_towpath_reference","Towpath geometry input for calculated C&O matching and coverage fields"
"coverage-segments.csv","strava_activity_data","User activity-data input"
"coverage.json","nps_towpath_reference","Towpath geometry input for calculated C&O matching and coverage fields"
"coverage.json","strava_activity_data","User activity-data input"
"feature-nearby-features.csv","co_canal_association_access_points","Canonical automobile access-point facts"
"feature-nearby-features.csv","co_canal_trust_locks","Practical lock mileposts and common names for nearby locks"
"feature-nearby-features.csv","nps_lift_locks","Lift-lock count and numbering authority"
"feature-nearby-features.csv","nps_recreation_guide","Amenity enrichment and selected nearby recreation features"
"features.csv","co_canal_association_access_points","Canonical automobile access-point facts"
"features.csv","co_canal_trust_locks","Practical lock mileposts and common names for nearby locks"
"features.csv","nps_lift_locks","Lift-lock count and numbering authority"
"features.csv","nps_recreation_guide","Amenity enrichment and selected nearby recreation features"
"features.csv","nps_towpath_reference","Input to Canawler-derived towpath coverage fields"
"features.csv","strava_activity_data","Input to Canawler-derived activity history fields"
"locks.json","co_canal_trust_locks","Practical lock mileposts and common names"
"locks.json","nps_lift_locks","Lift-lock count and numbering authority"
"locks.json","nps_towpath_reference","Input to Canawler-derived towpath coverage fields"
"locks.json","strava_activity_data","Input to Canawler-derived activity history fields"
"sources.csv","co_canal_association_access_points","External source represented in the public provenance registry"
"sources.csv","co_canal_trust_locks","External source represented in the public provenance registry"
"sources.csv","nps_lift_locks","External source represented in the public provenance registry"
"sources.csv","nps_recreation_guide","External source represented in the public provenance registry"
"sources.csv","nps_towpath_reference","External source represented in the public provenance registry"
"sources.csv","strava_activity_data","External source represented in the public provenance registry"
"sources.json","co_canal_association_access_points","External source represented in the public provenance registry"
"sources.json","co_canal_trust_locks","External source represented in the public provenance registry"
"sources.json","nps_lift_locks","External source represented in the public provenance registry"
"sources.json","nps_recreation_guide","External source represented in the public provenance registry"
"sources.json","nps_towpath_reference","External source represented in the public provenance registry"
"sources.json","strava_activity_data","External source represented in the public provenance registry"
