"access_point_id","access_point_name","access_point_milepost","nearby_feature_id","nearby_feature_type","nearby_feature_name","nearby_feature_common_name","nearby_feature_lock_number","nearby_feature_milepost","milepost_distance","source"
"georgetown-0-0-1-1","Georgetown",0.0,,"recreation_location","Thompson Boat Center",,,0.1,0.0,"recreation_guide"
"georgetown-0-0-1-1","Georgetown",0.0,"lock-1","lock","Lock 1",,"1",0.3,0.0,"locks"
"georgetown-0-0-1-1","Georgetown",0.0,"lock-2","lock","Lock 2",,"2",0.3,0.0,"locks"
"georgetown-0-0-1-1","Georgetown",0.0,"lock-3","lock","Lock 3",,"3",0.4,0.0,"locks"
"georgetown-0-0-1-1","Georgetown",0.0,"lock-4","lock","Lock 4",,"4",0.4,0.0,"locks"
"chain-bridge-4-0","Chain Bridge",4.0,"lock-5","lock","Lock 5","Brookmont Lock & Inlet #1","5",5.0,1.0,"locks"
"brookmont-footbridge-5-0","Brookmont footbridge",5.0,"lock-5","lock","Lock 5","Brookmont Lock & Inlet #1","5",5.0,0.0,"locks"
"brookmont-footbridge-5-0","Brookmont footbridge",5.0,"lock-6","lock","Lock 6","Magazine Lock","6",5.4,0.4,"locks"
"lock-6-5-4","Lock 6",5.4,"lock-6","lock","Lock 6","Magazine Lock","6",5.4,0.0,"locks"
"lock-6-5-4","Lock 6",5.4,"lock-5","lock","Lock 5","Brookmont Lock & Inlet #1","5",5.0,0.4,"locks"
"valley-road-brookmont-5-4","Valley Road (Brookmont)",5.4,"lock-6","lock","Lock 6","Magazine Lock","6",5.4,0.0,"locks"
"valley-road-brookmont-5-4","Valley Road (Brookmont)",5.4,"lock-5","lock","Lock 5","Brookmont Lock & Inlet #1","5",5.0,0.4,"locks"
"sycamore-island-6-4","Sycamore Island",6.4,"lock-7","lock","Lock 7","Chataqua Lock","7",7.0,0.6,"locks"
"sycamore-island-6-4","Sycamore Island",6.4,"lock-6","lock","Lock 6","Magazine Lock","6",5.4,1.0,"locks"
"walhonding-road-footbridge-6-4","Walhonding Road footbridge",6.4,"lock-7","lock","Lock 7","Chataqua Lock","7",7.0,0.6,"locks"
"walhonding-road-footbridge-6-4","Walhonding Road footbridge",6.4,"lock-6","lock","Lock 6","Magazine Lock","6",5.4,1.0,"locks"
"lock-7-7-0","Lock 7",7.0,"lock-7","lock","Lock 7","Chataqua Lock","7",7.0,0.0,"locks"
"cabin-john-aqueduct-7-7","Cabin John Aqueduct",7.7,"lock-8","lock","Lock 8","Seven Locks 1","8",8.3,0.6,"locks"
"cabin-john-aqueduct-7-7","Cabin John Aqueduct",7.7,"lock-7","lock","Lock 7","Chataqua Lock","7",7.0,0.7,"locks"
"cabin-john-aqueduct-7-7","Cabin John Aqueduct",7.7,"lock-9","lock","Lock 9","Seven Locks 2","9",8.7,1.0,"locks"
"lock-8-8-3","Lock 8",8.3,"lock-8","lock","Lock 8","Seven Locks 1","8",8.3,0.0,"locks"
"lock-8-8-3","Lock 8",8.3,"lock-9","lock","Lock 9","Seven Locks 2","9",8.7,0.4,"locks"
"lock-8-8-3","Lock 8",8.3,"lock-10","lock","Lock 10","Seven Locks 3","10",8.8,0.5,"locks"
"lock-8-8-3","Lock 8",8.3,"lock-11","lock","Lock 11","Seven Locks 4","11",9.0,0.7,"locks"
"lock-8-8-3","Lock 8",8.3,"lock-12","lock","Lock 12","Seven Locks 5","12",9.3,1.0,"locks"
"riverside-drive-8-3","Riverside Drive",8.3,"lock-8","lock","Lock 8","Seven Locks 1","8",8.3,0.0,"locks"
"riverside-drive-8-3","Riverside Drive",8.3,"lock-9","lock","Lock 9","Seven Locks 2","9",8.7,0.4,"locks"
"riverside-drive-8-3","Riverside Drive",8.3,"lock-10","lock","Lock 10","Seven Locks 3","10",8.8,0.5,"locks"
"riverside-drive-8-3","Riverside Drive",8.3,"lock-11","lock","Lock 11","Seven Locks 4","11",9.0,0.7,"locks"
"riverside-drive-8-3","Riverside Drive",8.3,"lock-12","lock","Lock 12","Seven Locks 5","12",9.3,1.0,"locks"
"lock-10-8-8","Lock 10",8.8,"lock-10","lock","Lock 10","Seven Locks 3","10",8.8,0.0,"locks"
"lock-10-8-8","Lock 10",8.8,"lock-9","lock","Lock 9","Seven Locks 2","9",8.7,0.1,"locks"
"lock-10-8-8","Lock 10",8.8,"lock-11","lock","Lock 11","Seven Locks 4","11",9.0,0.2,"locks"
"lock-10-8-8","Lock 10",8.8,"lock-8","lock","Lock 8","Seven Locks 1","8",8.3,0.5,"locks"
"lock-10-8-8","Lock 10",8.8,"lock-12","lock","Lock 12","Seven Locks 5","12",9.3,0.5,"locks"
"lock-10-8-8","Lock 10",8.8,"lock-13","lock","Lock 13","Seven Locks 6","13",9.4,0.6,"locks"
"lock-10-8-8","Lock 10",8.8,"lock-14","lock","Lock 14","Seven Locks 7","14",9.5,0.7,"locks"
"carderock-10-4-10-8","Carderock",10.4,"lock-14","lock","Lock 14","Seven Locks 7","14",9.5,0.9,"locks"
"carderock-10-4-10-8","Carderock",10.4,"lock-13","lock","Lock 13","Seven Locks 6","13",9.4,1.0,"locks"
"great-falls-14-3","Great Falls",14.3,"lock-19","lock","Lock 19","Six Locks 5","19",14.3,0.0,"locks"
"great-falls-14-3","Great Falls",14.3,"lock-18","lock","Lock 18","Six Locks 4","18",14.2,0.1,"locks"
"great-falls-14-3","Great Falls",14.3,"lock-20","lock","Lock 20","Six Locks 6 / Tavern Lock","20",14.4,0.1,"locks"
"great-falls-14-3","Great Falls",14.3,"lock-17","lock","Lock 17","Six Locks 3","17",14.1,0.2,"locks"
"great-falls-14-3","Great Falls",14.3,"lock-16","lock","Lock 16","Six Locks 2","16",13.7,0.6,"locks"
"great-falls-14-3","Great Falls",14.3,"lock-15","lock","Lock 15","Six Locks 1","15",13.6,0.7,"locks"
"swains-lock-16-6","Swains Lock",16.6,"lock-21","lock","Lock 21","Swains Lock","21",16.7,0.1,"locks"
"pennyfield-lock-19-6","Pennyfield Lock",19.6,"lock-22","lock","Lock 22","Pennyfield Lock","22",19.6,0.0,"locks"
"violettes-lock-22-1","Violettes Lock",22.1,"lock-23","lock","Lock 23","Violette's Lock","23",22.1,0.0,"locks"
"violettes-lock-22-1","Violettes Lock",22.1,"lock-24","lock","Lock 24","Riley's Lock","24",22.8,0.7,"locks"
"rileys-lock-22-8","Rileys Lock",22.8,"lock-24","lock","Lock 24","Riley's Lock","24",22.8,0.0,"locks"
"rileys-lock-22-8","Rileys Lock",22.8,"lock-23","lock","Lock 23","Violette's Lock","23",22.1,0.7,"locks"
"edwards-ferry-30-8","Edwards Ferry",30.8,"lock-25","lock","Lock 25","Edward's Ferry","25",30.8,0.0,"locks"
"edwards-ferry-30-8","Edwards Ferry",30.8,,"campground","Chisel Branch",,,30.5,0.3,"recreation_guide"
"dickerson-conservation-park-39-6","Dickerson Conservation Park",39.6,"lock-26","lock","Lock 26","Wood's Lock","26",39.4,0.2,"locks"
"monocacy-aqueduct-42-1","Monocacy Aqueduct",42.1,,"campground","Indian Flats",,,42.5,0.4,"recreation_guide"
"monocacy-aqueduct-42-1","Monocacy Aqueduct",42.1,"lock-27","lock","Lock 27","Spinks Ferry","27",41.5,0.6,"locks"
"point-of-rocks-48-2","Point of Rocks",48.2,,"campground","Calico Rocks",,,47.6,0.6,"recreation_guide"
"point-of-rocks-48-2","Point of Rocks",48.2,"lock-28","lock","Lock 28","Fulton's Lock / Dent's Lock","28",48.9,0.7,"locks"
"lander-50-9","Lander",50.9,"lock-29","lock","Lock 29","Lander Lock / Catoctin Lock","29",50.8,0.1,"locks"
"lander-50-9","Lander",50.9,,"campground","Bald Eagle Island",,,50.3,0.6,"recreation_guide"
"brunswick-55-0","Brunswick",55.0,"lock-30","lock","Lock 30",,"30",55.0,0.0,"locks"
"weverton-58-0","Weverton",58.0,"lock-31","lock","Lock 31","Weverton Lock","31",58.0,0.0,"locks"
"maryland-heights-61-3","Maryland Heights",61.3,"lock-34","lock","Lock 34","Goodheart's Lock","34",61.5,0.2,"locks"
"maryland-heights-61-3","Maryland Heights",61.3,"lock-33","lock","Lock 33",,"33",60.7,0.6,"locks"
"maryland-heights-61-3","Maryland Heights",61.3,,"campground","Huckleberry Hill",,,62.0,0.7,"recreation_guide"
"maryland-heights-61-3","Maryland Heights",61.3,"lock-35","lock","Lock 35",,"35",62.3,1.0,"locks"
"lock-34-61-6","Lock 34",61.6,"lock-34","lock","Lock 34","Goodheart's Lock","34",61.5,0.1,"locks"
"lock-34-61-6","Lock 34",61.6,,"campground","Huckleberry Hill",,,62.0,0.4,"recreation_guide"
"lock-34-61-6","Lock 34",61.6,"lock-35","lock","Lock 35",,"35",62.3,0.7,"locks"
"lock-34-61-6","Lock 34",61.6,"lock-33","lock","Lock 33",,"33",60.7,0.9,"locks"
"lock-34-61-6","Lock 34",61.6,"lock-36","lock","Lock 36",,"36",62.5,0.9,"locks"
"mountain-lock-67-0","Mountain Lock",67.0,"lock-37","lock","Lock 37","Mountain Lock","37",66.9,0.1,"locks"
"railroad-bridge-shepherdstown-72-4","Railroad bridge (Shepherdstown)",72.4,"lock-38","lock","Lock 38","Shepherdstown Lock","38",72.7,0.3,"locks"
"railroad-bridge-shepherdstown-72-4","Railroad bridge (Shepherdstown)",72.4,,"recreation_location","Ferry Hill",,,72.8,0.4,"recreation_guide"
"lock-38-shepherdstown-72-8","Lock 38 (Shepherdstown)",72.8,,"recreation_location","Ferry Hill",,,72.8,0.0,"recreation_guide"
"lock-38-shepherdstown-72-8","Lock 38 (Shepherdstown)",72.8,"lock-38","lock","Lock 38","Shepherdstown Lock","38",72.7,0.1,"locks"
"mcmahons-mill-88-1","McMahons Mill",88.1,"lock-41","lock","Lock 41",,"41",88.9,0.8,"locks"
"mcmahons-mill-88-1","McMahons Mill",88.1,"lock-42","lock","Lock 42",,"42",89.0,0.9,"locks"
"spring-dell-road-89-1","Spring Dell Road",89.1,"lock-42","lock","Lock 42",,"42",89.0,0.1,"locks"
"spring-dell-road-89-1","Spring Dell Road",89.1,"lock-41","lock","Lock 41",,"41",88.9,0.2,"locks"
"lock-44-99-3","Lock 44",99.3,"lock-44","lock","Lock 44","Williamsport","44",99.1,0.2,"locks"
"williamsport-visitor-center-99-8","Williamsport Visitor Center",99.8,"lock-44","lock","Lock 44","Williamsport","44",99.1,0.7,"locks"
"dam-no-5-road-106-2","Dam No. 5 Road",106.2,"lock-45","lock","Lock 45","Two Locks 1","45",107.0,0.8,"locks"
"dam-no-5-road-106-2","Dam No. 5 Road",106.2,"lock-46","lock","Lock 46","Two Locks 2","46",107.2,1.0,"locks"
"dam-no-5-106-8","Dam No. 5",106.8,"lock-45","lock","Lock 45","Two Locks 1","45",107.0,0.2,"locks"
