"id","feature_type","name","common_name","lock_number","milepost","milepost_end","latitude","longitude","coverage_status","run_coverage_status","bike_coverage_status","hike_coverage_status","covering_activity_count","run_covering_activity_count","bike_covering_activity_count","hike_covering_activity_count","first_covering_activity_id","first_covering_date","first_covering_strava_url","latest_covering_activity_id","latest_covering_date","latest_covering_strava_url","remaining_segment_count","remaining_segment_start","remaining_segment_end","remaining_segment_miles","nps_has_amenity_data","nps_bike_rentals","nps_boat_ramp","nps_boat_rentals","nps_camping","nps_camping_fee_area","nps_camping_tent","nps_canal_quarters","nps_canoe_kayak_ramp","nps_fee_area","nps_food","nps_parking","nps_picnic_tables","nps_restrooms","nps_visitor_center","nps_water","nps_recreation_match_count","nearby_feature_count","nearby_lock_count"
"georgetown-0-0-1-1","access_point","Georgetown",,,0.0,1.1,38.904167,-77.060133,"covered","covered","remaining","remaining",3,3,0,0,199816335,"2013-03-12","https://www.strava.com/activities/199816335",199812372,"2013-04-16","https://www.strava.com/activities/199812372",0,,,,"true","false","false","false","false","false","false","false","false","false","false","false","false","true","true","true",1,5,4
"lock-1","lock","Lock 1",,"1",0.3,,,,"covered","covered","remaining","remaining",1,1,0,0,199813593,"2013-04-09","https://www.strava.com/activities/199813593",199813593,"2013-04-09","https://www.strava.com/activities/199813593",0,,,,,,,,,,,,,,,,,,,,,,
"lock-2","lock","Lock 2",,"2",0.3,,,,"covered","covered","remaining","remaining",1,1,0,0,199813593,"2013-04-09","https://www.strava.com/activities/199813593",199813593,"2013-04-09","https://www.strava.com/activities/199813593",0,,,,,,,,,,,,,,,,,,,,,,
"lock-3","lock","Lock 3",,"3",0.4,,,,"covered","covered","remaining","remaining",1,1,0,0,199813593,"2013-04-09","https://www.strava.com/activities/199813593",199813593,"2013-04-09","https://www.strava.com/activities/199813593",0,,,,,,,,,,,,,,,,,,,,,,
"lock-4","lock","Lock 4",,"4",0.4,,,,"covered","covered","remaining","remaining",1,1,0,0,199813593,"2013-04-09","https://www.strava.com/activities/199813593",199813593,"2013-04-09","https://www.strava.com/activities/199813593",0,,,,,,,,,,,,,,,,,,,,,,
"fletchers-cove-3-1","access_point","Fletchers Cove",,,3.1,,38.918691,-77.102019,"covered","covered","remaining","remaining",1,1,0,0,199789540,"2013-09-14","https://www.strava.com/activities/199789540",199789540,"2013-09-14","https://www.strava.com/activities/199789540",0,,,,"true","true","false","true","false","false","false","false","false","false","true","true","true","true","false","false",1,0,0
"chain-bridge-4-0","access_point","Chain Bridge",,,4.0,,38.932841,-77.112844,"covered","covered","remaining","remaining",2,2,0,0,199789540,"2013-09-14","https://www.strava.com/activities/199789540",199781227,"2013-11-17","https://www.strava.com/activities/199781227",0,,,,"false",,,,,,,,,,,,,,,,0,1,1
"brookmont-footbridge-5-0","access_point","Brookmont footbridge",,,5.0,,38.939982,-77.120157,"covered","covered","remaining","remaining",3,3,0,0,199814600,"2013-04-02","https://www.strava.com/activities/199814600",199781227,"2013-11-17","https://www.strava.com/activities/199781227",0,,,,"false",,,,,,,,,,,,,,,,0,2,2
"lock-5","lock","Lock 5","Brookmont Lock & Inlet #1","5",5.0,,,,"covered","covered","remaining","remaining",3,3,0,0,199814600,"2013-04-02","https://www.strava.com/activities/199814600",199781227,"2013-11-17","https://www.strava.com/activities/199781227",0,,,,,,,,,,,,,,,,,,,,,,
"lock-6-5-4","access_point","Lock 6",,,5.4,,38.944737,-77.123348,"covered","covered","remaining","remaining",3,3,0,0,199814600,"2013-04-02","https://www.strava.com/activities/199814600",199781227,"2013-11-17","https://www.strava.com/activities/199781227",0,,,,"true","false","false","false","false","false","false","true","false","false","false","true","true","false","false","false",1,2,2
"valley-road-brookmont-5-4","access_point","Valley Road (Brookmont)",,,5.4,,38.94546,-77.122672,"covered","covered","remaining","remaining",3,3,0,0,199814600,"2013-04-02","https://www.strava.com/activities/199814600",199781227,"2013-11-17","https://www.strava.com/activities/199781227",0,,,,"false",,,,,,,,,,,,,,,,0,2,2
"lock-6","lock","Lock 6","Magazine Lock","6",5.4,,,,"covered","covered","remaining","remaining",3,3,0,0,199814600,"2013-04-02","https://www.strava.com/activities/199814600",199781227,"2013-11-17","https://www.strava.com/activities/199781227",0,,,,,,,,,,,,,,,,,,,,,,
"sycamore-island-6-4","access_point","Sycamore Island",,,6.4,,38.95832,-77.131465,"covered","covered","remaining","remaining",3,3,0,0,199814600,"2013-04-02","https://www.strava.com/activities/199814600",199781227,"2013-11-17","https://www.strava.com/activities/199781227",0,,,,"true","false","false","false","false","false","false","false","false","false","false","true","true","false","false","false",1,2,2
"walhonding-road-footbridge-6-4","access_point","Walhonding Road footbridge",,,6.4,,38.958303,-77.130849,"covered","covered","remaining","remaining",3,3,0,0,199814600,"2013-04-02","https://www.strava.com/activities/199814600",199781227,"2013-11-17","https://www.strava.com/activities/199781227",0,,,,"false",,,,,,,,,,,,,,,,0,2,2
"lock-7-7-0","access_point","Lock 7",,,7.0,,38.964611,-77.138363,"covered","covered","remaining","remaining",3,3,0,0,199814600,"2013-04-02","https://www.strava.com/activities/199814600",199781227,"2013-11-17","https://www.strava.com/activities/199781227",0,,,,"true","false","false","false","false","false","false","false","false","false","false","true","true","false","false","false",1,1,1
"lock-7","lock","Lock 7","Chataqua Lock","7",7.0,,,,"covered","covered","remaining","remaining",3,3,0,0,199814600,"2013-04-02","https://www.strava.com/activities/199814600",199781227,"2013-11-17","https://www.strava.com/activities/199781227",0,,,,,,,,,,,,,,,,,,,,,,
"cabin-john-aqueduct-7-7","access_point","Cabin John Aqueduct",,,7.7,,38.972854,-77.147357,"covered","covered","remaining","remaining",2,2,0,0,199789540,"2013-09-14","https://www.strava.com/activities/199789540",199781227,"2013-11-17","https://www.strava.com/activities/199781227",0,,,,"false",,,,,,,,,,,,,,,,0,3,3
"lock-8-8-3","access_point","Lock 8",,,8.3,,38.971559,-77.160636,"covered","covered","remaining","remaining",2,2,0,0,199789540,"2013-09-14","https://www.strava.com/activities/199789540",199781227,"2013-11-17","https://www.strava.com/activities/199781227",0,,,,"true","false","false","false","false","false","false","false","false","false","false","true","true","true","false","false",1,5,5
"riverside-drive-8-3","access_point","Riverside Drive",,,8.3,,38.97208,-77.1621,"covered","covered","remaining","remaining",2,2,0,0,199789540,"2013-09-14","https://www.strava.com/activities/199789540",199781227,"2013-11-17","https://www.strava.com/activities/199781227",0,,,,"false",,,,,,,,,,,,,,,,0,5,5
